R2,MAE,RMSE,MAPE,n,model,target,horizon,infra,n_train
0.454,74.402,165.4847,12.09,4911,XGBoost,Measured CO2,33min,Container With Insulation,119154
0.3412,55.8119,114.9215,11.24,12852,XGBoost,Measured CO2,33min,Mobile/Prefab,119154
0.1965,109.2787,212.8459,21.92,71781,XGBoost,Measured CO2,1h,ALL,119129
-1.6816,121.9637,210.7649,29.09,8034,XGBoost,Measured CO2,1h,Brick First Floor,119129
0.3538,89.3206,186.5902,15.69,12976,XGBoost,Measured CO2,1h,Brick Second Floor,119129
0.0564,88.5084,167.6134,18.53,16695,XGBoost,Measured CO2,1h,Brick Single Story,119129
0.2902,163.6929,294.5052,31.47,16338,XGBoost,Measured CO2,1h,Container No Insulation,119129
0.0893,107.9416,213.8842,18.5,4902,XGBoost,Measured CO2,1h,Container With Insulation,119129
-0.2932,79.7805,161.0512,17.26,12836,XGBoost,Measured CO2,1h,Mobile/Prefab,119129
-0.2387,171.0589,264.7022,36.06,71347,XGBoost,Measured CO2,3h,ALL,119059
-2.686,182.5604,247.7849,43.71,7954,XGBoost,Measured CO2,3h,Brick First Floor,119059
-0.0319,156.5335,236.405,31.16,12906,XGBoost,Measured CO2,3h,Brick Second Floor,119059
-0.3446,145.2009,200.4118,31.73,16605,XGBoost,Measured CO2,3h,Brick Single Story,119059
-0.1396,227.4957,373.8404,45.72,16228,XGBoost,Measured CO2,3h,Container No Insulation,119059
-0.4328,185.2561,268.9481,35.85,4872,XGBoost,Measured CO2,3h,Container With Insulation,119059
-0.958,135.0967,198.2033,29.72,12782,XGBoost,Measured CO2,3h,Mobile/Prefab,119059
-0.0665,159.2985,246.2359,31.89,70609,XGBoost,Measured CO2,6h,ALL,118970
-1.2875,149.6066,195.9819,34.75,7818,XGBoost,Measured CO2,6h,Brick First Floor,118970
0.0554,136.9189,227.1659,25.9,12787,XGBoost,Measured CO2,6h,Brick Second Floor,118970
-0.2539,127.6283,191.7782,26.92,16452,XGBoost,Measured CO2,6h,Brick Single Story,118970
0.0463,230.4427,343.5399,42.69,16041,XGBoost,Measured CO2,6h,Container No Insulation,118970
-0.7217,194.1709,296.0515,36.89,4821,XGBoost,Measured CO2,6h,Container With Insulation,118970
-0.5664,125.7,177.5957,27.04,12690,XGBoost,Measured CO2,6h,Mobile/Prefab,118970
0.693,1.22,2.1516,51.05,83074,XGBoost,Measured PM1.0,11min,ALL,119252
0.7853,1.3786,1.9596,46.9,8081,XGBoost,Measured PM1.0,11min,Brick First Floor,119252
0.645,1.4978,2.4448,57.13,13011,XGBoost,Measured PM1.0,11min,Brick Second Floor,119252
0.789,1.1641,1.6888,46.65,16741,XGBoost,Measured PM1.0,11min,Brick Single Story,119252
0.5394,1.2938,3.0418,47.93,16396,XGBoost,Measured PM1.0,11min,Container No Insulation,119252
0.7579,1.04,1.6774,44.36,7683,XGBoost,Measured PM1.0,11min,Container With Insulation,119252
0.7329,1.0411,1.6079,59.55,21162,XGBoost,Measured PM1.0,11min,Mobile/Prefab,119252
0.5088,1.638,2.7214,68.04,82994,XGBoost,Measured PM1.0,33min,ALL,119246
0.5589,1.9193,2.8107,67.08,8067,XGBoost,Measured PM1.0,33min,Brick First Floor,119246
0.498,1.9183,2.9086,76.96,12997,XGBoost,Measured PM1.0,33min,Brick Second Floor,119246
